,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,ap12,ap13
latitude,43.0776155,43.0776897,43.077702,43.0776888,43.0777668,43.0778864,43.0776331,43.0776041,43.0775361,43.0775726,43.0775799,43.0776028,43.0776492
longitude,-89.4119874,-89.4123225,-89.412358,-89.412326,-89.4123696,-89.4124907,-89.4117024,-89.4117129,-89.4117661,-89.4117626,-89.4118649,-89.4119482,-89.4119917
